node_id,cluster_labels,longitude,latitude
0,0,-104.99251,39.74765
1,1,-122.34391,37.579964
2,1,-104.99251,39.74765
3,1,-77.451706,38.94511
4,1,-122.36884,37.824562
5,1,0.0,0.0
6,2,-87.749626,42.057777
7,1,-122.38332,37.591125
8,0,-105.00052,39.74832
9,1,-122.34475,37.579002
10,3,6.12731,49.613148
11,1,-122.34368,37.580303
12,0,0.0,0.0
13,0,-104.99252,39.753376
14,1,-104.9847,39.739155
15,0,-105.28206,40.025406
16,1,-122.68637,37.90937
17,0,-105.28025,40.013428
18,0,-74.008736,40.72337
19,0,-76.329994,40.075474
20,0,-105.81253,39.936497
21,0,-105.08665,39.92054
22,0,-117.25048,32.76423
23,1,-97.74026,30.267445
24,0,-105.08828,40.17309
25,0,-107.81623,38.1392
26,1,-122.27698,37.56215
27,0,-105.25181,40.026157
28,3,6.095556,49.603333
29,0,-104.9847,39.739155
30,0,-105.6975,39.706097
31,0,-73.991974,40.72915
32,0,-118.49814,34.029633
33,3,-104.915474,38.85747
34,0,-105.06551,39.794327
35,1,-104.90243,39.758064
36,4,-78.018906,34.745163
37,0,-121.88571,37.32963
38,1,24.70936,60.16271
39,0,-122.39249,37.78278
40,1,-122.34368,37.580303
41,0,-104.95975,39.745983
42,1,-122.34368,37.580303
43,0,-104.67518,39.84716
44,4,-97.82584,30.285938
45,1,-116.357,33.70969
46,1,-122.34693,37.578644
47,0,-73.98001,40.763054
48,3,6.13,49.611668
49,0,-105.27512,40.018696
50,0,-105.13212,39.978184
51,0,-104.99907,39.75047
52,0,-104.95986,39.732235
53,3,6.385481,49.600132
54,1,-117.42662,47.6743
55,0,-105.08033,39.838474
56,1,-122.353195,47.615242
57,0,-106.92679,37.853424
58,0,-105.29687,40.014
59,5,7.75,49.45
60,3,6.172921,49.63357
61,0,-93.2779,44.954918
62,0,-105.25585,40.035564
63,0,-93.24215,44.854515
64,0,-104.709335,39.83805
65,0,-105.135284,39.93053
66,0,-104.994354,39.75633
67,0,-104.957504,39.718018
68,0,-105.27721,40.018055
69,4,-122.4278,37.759453
70,0,-122.00585,37.33169
71,0,-105.00739,39.748947
72,0,-104.989265,39.745132
73,0,,
74,1,-122.36608,37.584103
75,0,-105.27747,40.018776
76,0,-104.985466,39.75941
77,3,4.354558,50.8471
78,6,-86.793564,36.115227
79,3,6.095556,49.603333
80,0,-105.25614,40.016884
81,0,-104.95906,39.70422
82,0,-104.675224,39.84719
83,0,-71.46633,41.641624
84,0,-104.83192,39.72943
85,0,-105.00083,39.754562
86,0,-104.98012,39.743275
87,0,-77.447716,38.95338
88,0,-86.98063,20.470104
89,0,145.07484,-37.78609
90,0,-122.406685,37.76736
91,1,-122.36608,37.584103
92,0,-83.28131,40.82728
93,1,24.940983,60.16814
94,0,-104.99903,39.712494
95,7,4.9221,52.37674
96,0,-104.90289,39.60239
97,1,24.947582,60.1672
98,0,-104.953186,39.718018
99,4,-122.41942,37.77493
100,3,6.100258,49.752876
101,0,-105.27609,40.00888
102,4,-155.96344,19.559608
103,0,-122.5922,48.847042
104,0,-105.106346,40.134277
105,0,-105.08749,39.802765
106,0,-104.985466,39.75941
107,0,-105.270546,40.014984
108,4,-73.97957,40.76192
109,4,-104.67318,39.861656
110,7,-122.200676,47.61038
111,0,-104.98681,39.736996
112,0,-105.24674,39.988792
113,0,-97.33755,37.692238
114,3,6.106111,49.74889
115,0,-104.99373,39.74359
116,4,-122.39208,37.61471
117,4,-76.94977,38.987717
118,4,-105.06415,39.75304
119,0,-104.9847,39.739155
120,0,-112.074036,33.448376
121,0,-104.99848,39.75379
122,5,10.211667,59.7425
123,1,-122.25507,37.502815
124,1,-122.421684,37.778015
125,1,-122.3902,37.779613
126,1,-121.98961,38.311005
127,1,-121.94772,37.320038
128,1,-122.27772,37.547024
129,1,-122.84777,38.590187
130,1,-87.650055,41.850033
131,1,-122.41942,37.77493
132,1,-74.032364,40.74399
133,1,-115.17223,36.116196
134,1,-77.066925,39.153164
135,1,-122.14302,37.441883
136,1,-122.36608,37.584103
137,1,-73.9733,40.764305
138,1,-118.35236,34.19647
139,1,-121.95524,37.354107
140,1,-71.05978,42.358433
141,1,,
142,1,-122.3463,37.580235
143,1,-104.9874,39.73845
144,1,-90.05979,29.960094
145,1,-76.848305,39.099274
146,1,-94.67079,38.982227
147,1,-93.82405,35.14764
148,1,-88.26973,42.35568
149,1,-122.2234,37.48967
150,1,-111.8538,40.489876
151,1,-0.100272,51.556347
152,1,-104.98866,39.75196
153,0,-71.04109,42.349125
154,1,-1.857819,50.731644
155,1,-123.961525,45.891773
156,1,-95.283394,38.962914
157,1,-84.387985,33.748997
158,1,0.0,0.0
159,1,-85.67349,42.960205
160,1,55.376007,25.303907
161,1,-111.937386,33.42358
162,1,-104.85774,39.581512
163,1,-121.9105,37.246876
164,1,0.0,0.0
165,8,0.0,0.0
166,1,-77.0414,38.813362
167,1,-104.9847,39.739155
168,0,-105.09555,39.6161
169,0,-105.11246,40.170704
170,1,-97.07831,32.861946
171,0,-104.9882,39.740772
172,0,-105.070816,39.891384
173,1,-76.98994,40.21503
174,1,135.49873,34.73336
175,0,-104.95148,39.74519
176,9,-76.52027,42.419373
177,4,-121.31713,38.715553
178,1,-85.378845,38.407566
179,1,-123.91125,46.024273
180,1,-87.33082,41.47096
181,1,31.25,30.05
182,1,-79.591934,43.678905
183,0,-104.993774,39.75334
184,1,-104.87276,39.09166
185,0,-105.08442,40.58526
186,1,-118.84415,34.174976
187,0,-104.98438,39.73686
188,1,-121.89496,37.339386
189,0,-104.98728,39.717915
190,2,-87.993256,42.228424
191,1,137.02168,35.183952
192,0,-94.59129,39.052956
193,0,-105.12456,39.92159
194,4,-104.89701,39.63774
195,1,-118.46976,33.99458
196,1,174.773,-36.844826
197,1,,
198,1,-97.33755,37.692238
199,0,-104.98153,39.772087
200,0,-81.53323,30.254663
201,1,-104.821365,38.83388
202,4,-73.10594,40.941486
203,1,,
204,10,-46.636112,-23.5475
205,11,-88.4487,42.314743
206,1,-122.42155,37.78759
207,1,0.0,0.0
208,12,-84.32567,33.788227
209,1,-98.485275,29.427382
210,1,-122.4075,37.78793
211,13,-122.16323,37.44436
212,1,-101.87524,33.548756
213,1,-94.71082,39.200512
214,1,0.0,0.0
215,1,-118.3933,34.03221
216,1,-122.9507,43.93321
217,14,-79.06627,43.100117
218,1,-121.877266,37.256256
219,1,0.0,0.0
220,1,-74.06819,40.08317
221,4,8.041169,49.973324
222,1,-94.40208,38.933094
223,6,-87.48956,36.829838
224,1,0.0,0.0
225,1,-98.25671,26.235573
226,1,-110.06226,34.2466
227,1,0.0,0.0
228,15,-122.258286,37.854412
229,4,-78.70863,35.797123
230,1,-96.82104,32.969944
231,1,-72.03341,42.075096
232,1,-122.36624,37.819942
233,1,-80.25669,40.496
234,6,-86.75983,36.154373
235,1,-73.98975,40.715553
236,16,-73.98462,40.757576
237,1,-77.38791,40.531475
238,1,-122.239685,37.7756
239,4,-80.138695,26.191483
240,4,-78.92162,33.768288
241,17,135.69579,34.92677
242,4,-122.42301,37.826664
243,4,-122.2833,37.560658
244,1,0.0,0.0
245,1,0.0,0.0
246,1,-74.47758,40.44845
247,17,0.0,0.0
248,1,-0.138559,51.524826
249,17,0.0,0.0
250,17,139.53,35.54388
251,1,0.0,0.0
252,18,-92.40546,34.708572
253,1,-82.735275,27.872107
254,4,-122.25986,37.472336
255,4,-122.082825,37.387867
256,1,0.0,0.0
257,1,0.0,0.0
258,1,-71.01933,42.277935
259,4,-86.77941,34.672375
260,1,-122.89547,49.251183
261,19,-77.397026,39.62665
262,17,0.0,0.0
263,1,-105.031136,39.74379
264,20,-2.232263,53.4644
265,21,-111.97905,33.34704
266,4,-122.23352,37.768536
267,1,-0.495285,52.03281
268,6,-86.79673,33.490433
269,22,104.1954,35.86166
270,4,-122.4066,37.782154
271,1,-94.87635,38.943848
272,1,100.36868,5.346092
273,1,-122.0325,37.366734
274,1,-122.34368,37.580303
275,0,-122.1132,37.453007
276,1,-119.52554,34.413906
277,1,0.0,0.0
278,4,-117.647285,33.671364
279,17,139.79948,35.662632
280,4,-97.724884,30.307266
281,17,136.88745,35.17677
282,1,7.774801,49.359344
283,1,-82.726555,27.90407
284,2,0.0,0.0
285,16,-76.57083,39.28009
286,1,-122.34368,37.580303
287,0,0.0,0.0
288,4,-80.13353,25.778156
289,4,-73.98964,40.701935
290,1,145.25319,-37.79814
291,12,-86.69308,36.209213
292,4,-97.76873,30.241459
293,4,-73.85349,40.74754
294,5,24.934168,60.175556
295,12,-84.3966,33.771023
296,1,-122.41132,37.785847
297,22,-80.60873,28.353092
298,1,0.0,0.0
299,4,-81.314514,29.894691
300,12,-84.283035,33.895035
301,1,-94.78066,39.34861
302,4,-95.41716,30.07994
303,2,-87.73053,41.78208
304,22,-81.396484,28.586622
305,4,-115.17514,36.102173
306,4,-73.24256,42.930668
307,23,-90.066185,29.949663
308,1,-118.372955,33.89916
309,4,-9.073726,53.2899
310,1,-76.900345,39.090374
311,1,-122.42997,37.797768
312,1,,
313,1,,
314,1,,
315,4,-122.422554,37.77463
316,4,-122.01819,37.71551
317,1,-94.56681,39.233677
318,1,0.0,0.0
319,4,-89.62794,44.95994
320,4,-86.70367,34.803513
321,1,-118.267685,34.07723
322,4,-80.253456,26.191912
323,7,,
324,21,-84.71594,44.66237
325,24,-79.54408,40.301872
326,1,0.0,0.0
327,1,-75.73155,40.301517
328,1,-118.0501,45.340946
329,1,0.0,0.0
330,1,-122.265526,37.825096
331,21,-85.51466,38.243114
332,5,11.097661,60.19377
333,4,-75.18277,40.991257
334,1,-121.93569,37.291847
335,1,0.0,0.0
336,1,0.0,0.0
337,1,-122.14736,37.43378
338,19,-122.39409,37.776463
339,1,0.0,0.0
340,1,9.983772,44.813225
341,1,-82.55485,35.59605
